action_de_formation_af_identifiant_onisep,formation_for_libelle,for_url_et_id_onisep,for_indexation_domaine_web_onisep,for_type,for_nature_du_certificat,for_url_referentiel,for_niveau_de_sortie,lieu_denseignement_ens_libelle,ens_url_et_id_onisep,ens_code_uai,ens_statut,ens_adresse,ens_code_postal,ens_commune,ens_departement,ens_academie,ens_region,ens_latitude,ens_longitude,ens_n_telephone,ens_site_web,ens_hebergement,ens_accessibilite,af_duree_cycle_standard,af_modalites_scolarite,af_elements_denseignement,af_cout_scolarite,af_modalites_accueil,af_page_web,af_date_de_creation,af_date_de_modification
AF.101907,master mention mathématiques et applications,https://www.onisep.fr/http/redirection/formation/slug/FOR.10458,sciences/mathématiques,master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/39416/,bac + 5,École nationale supérieure d'informatique et de mathématiques appliquées - Grenoble INP-UGA,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14008,0383399N,public,"681 rue de la Passerelle, Domaine universitaire, BP 72",38402,Saint-Martin-d'Hères,Isère,Grenoble,Auvergne-Rhône-Alpes,45.1935,5.76804,04 76 82 72 00,https://ensimag.grenoble-inp.fr,"hébergement organisé hors établissement (homme/femme - résidence de la Houille blanche réservée aux étudiants des écoles de Grenoble INP-UGA) : résidences universitaires du Crous, résidences privées, locations...","Locaux accessibles : accessibilité totale pour handicap moteur, rampe d'accès, ascenseur",2 ans,"temps plein, cours en présentiel","parcours Applied Mathematics | parcours Cybersecurity | parcours Master of Science in Industrial and Applied Mathematics | parcours Operations Research, Combinatorics and Optimization",,,https://ensimag.grenoble-inp.fr/fr/formation/masters,14/12/2021,16/12/2024
AF.122825,cycle préparatoire intégré IMT Nord Europe,https://www.onisep.fr/http/redirection/formation/slug/FOR.9037,"environnement, énergies, propreté/énergies| environnement, énergies, propreté/environnement (généralités)| construction, architecture, travaux publics/génie civil| matières premières, fabrication, industries/génie industriel| matières premières, fabrication, industries/matériaux| information-communication, audiovisuel/multimédia| information-communication, audiovisuel/technologies de l'information",cycle préparatoire intégré,Certificat délivré par l'école,,bac + 2,École nationale supérieure Mines-Télécom Nord Europe - campus de Lille,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2015,0597060D,public,"Rue Guglielmo Marconi, Cité scientifique, BP 20145",59653,Villeneuve-d'Ascq,Nord,Lille,Hauts-de-France,50.6107392,3.1343713,03 20 33 55 77,https://imt-nord-europe.fr,"sans hébergement (voir résidence autonome de 170 logements, résidence REFLEX sur la cité scientifique de Villeneuve d'Ascq)","Locaux accessibles : accessibilité totale pour handicap moteur, ascenseur",2 ans,"temps plein, cours en présentiel",,5300 euros en 2025 (2650 euros par an),,https://imt-nord-europe.fr/annuaire-formations/cycle-preparatoire/,30/06/2023,15/06/2026
AF.116272,diplôme supérieur en logistique et gestion de la chaîne d'approvisionnement,https://www.onisep.fr/http/redirection/formation/slug/FOR.11696,"commerce, marketing, vente/achat, approvisionnement| logistique, transport/logistique",diplôme d'école de commerce visé de niveau bac + 4 ou 5,Diplôme d'école revêtu d'un visa officiel,https://www.francecompetences.fr/recherche/rncp/41232/,bac + 5,Rennes School of Business,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8076,0352305R,privé,"2 rue Robert d'Arbrissel, CS 76522",35065,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.127264559936,-1.6900169849396,02 99 54 63 63,https://www.rennes-sb.fr,sans hébergement (520 logements en résidence étudiante sur le campus. Loyer à partir de 450 euros par mois),Locaux accessibles : accessibilité totale pour handicap moteur,2 ans,"temps plein, cours en présentiel",,"28900 euros en 2026 (14000 euros en 1re année, 14900 euros en 2e année, gratuit en apprentissage)",,https://www.rennes-sb.fr/programmes/masters/decouvrez-masters/master-of-science-in-logistics-supply-chain-and-purchasing/,06/01/2023,18/12/2025
AF.142212,master mention lettres et humanités,https://www.onisep.fr/http/redirection/formation/slug/FOR.10446,"lettres, langues, enseignement/lettres, linguistique",master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/39462/,bac + 5,Université Paris Sciences et Lettres,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16975,0756036D,public,60 rue Mazarine,75006,Paris,Paris,Paris,Ile-de-France,48.854714558684,2.3380322,01 85 76 08 70,http://www.psl.eu,sans hébergement,Locaux accessibles,2 ans,"temps plein, cours en présentiel","parcours agrégation de géographie | parcours agrégation de lettres classiques | parcours agrégation de lettres modernes | parcours arts transdisciplinaire | parcours géographie politique | parcours littératures : théorie, histoire | parcours mondes anciens : archéologie, histoire | parcours mondes anciens : langues, textes, images",,,https://psl.eu/formation/master-lettres-et-humanites,07/10/2025,08/10/2025
AF.115831,bachelor en sciences du management - diplôme d'études supérieures en management des affaires internationales,https://www.onisep.fr/http/redirection/formation/slug/FOR.12102,"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/commerce international| banque, assurances, immobilier/finances",diplôme d'école de commerce visé de niveau bac + 4 ou 5,Diplôme d'école revêtu d'un visa officiel,https://www.francecompetences.fr/recherche/rncp/41032/,bac + 4,Institut supérieur du commerce de Paris,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11494,0750252S,privé,22 boulevard du Fort de Vaux,75848,Paris,Paris,Paris,Ile-de-France,48.8926,2.30122,01 40 53 99 99,https://www.iscparis.com,sans hébergement (résidences étudiantes à proximité de l'école et service logement ISC Paris),"Locaux accessibles : accessibilité totale pour handicap moteur, rampe d'accès, ascenseur",4 ans,"temps plein, cours en présentiel",,"43100 euros en 2026 (10500 euros pour la 1re année, 10800 euros par an en 2e et 3e années, 11000 euros en 4e année)",,https://www.iscparis.com/program/formations-professionnelles-bba/,20/12/2022,14/10/2025
AF.143690,master mention physique fondamentale et applications,https://www.onisep.fr/http/redirection/formation/slug/FOR.10202,sciences/physique,master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/38994/,bac + 5,École nationale supérieure des sciences appliquées et de technologie,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4983,0221809X,public,"6 rue de Kerampont, CS 80518",22305,Lannion,Côtes-d'Armor,Rennes,Bretagne,48.729725,-3.4622542073171,02 96 46 90 00,http://www.enssat.fr,sans hébergement (hébregement CROUS plus possibilité de location chez les particuliers),"Locaux accessibles : accessibilité totale pour handicap moteur, ascenseur, rampe d'accès",1 an,"temps plein, cours en distanciel",parcours photonique,,,https://spm.univ-rennes.fr/fr/les-masters-de-la-mention-physique-fondamentale-et-applications,06/01/2026,11/05/2026
AF.79344,licence pro mention activités juridiques : assistant juridique,https://www.onisep.fr/http/redirection/formation/slug/FOR.11217,"économie, droit, politique/droit (généralités)| gestion des entreprises, comptabilité/secrétariat",licence pro,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/40292/,bac + 3,Pôle licences,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10652,0171639P,public,1 parvis Fernand Braudel,17042,La Rochelle,Charente-Maritime,Poitiers,Nouvelle-Aquitaine,46.1518583,-1.1533739512934,05 46 45 68 00,https://www.univ-larochelle.fr,sans hébergement,Locaux accessibles : ascenseur,1 an,"temps plein, cours en présentiel","parcours droit, gestion et comptabilité de l'entreprise",,,,06/06/2020,17/06/2026
AF.61276,master mention génie industriel,https://www.onisep.fr/http/redirection/formation/slug/FOR.10041,"matières premières, fabrication, industries/génie industriel",master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/38690/,bac + 5,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Chalon-sur-Saône,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17949,0711858J,public,2 rue Thomas Dumorey,71100,Chalon-sur-Saône,Saône-et-Loire,Dijon,Bourgogne-Franche-Comté,46.7735951,4.8585553,03 85 90 98 60,https://artsetmetiers.fr/fr/institut/chalon-sur-saone,sans hébergement (tous les campus Arts et Métiers disposent d’une résidence étudiante. Faire une demande auprès du service scolarité du site. Nombre de places limité...),,2 ans,"temps plein, cours en présentiel",parcours ingénierie numérique,,,https://artsetmetiers.fr/fr/formation/parcours-m2,06/06/2020,05/07/2023
AF.131442,cycle préparatoire intégré de l'Institut supérieur des biotechnologies de Paris,https://www.onisep.fr/http/redirection/formation/slug/FOR.10235,"sciences/biologie| matières premières, fabrication, industries/génie industriel| santé, social, sport/santé (généralités)",cycle préparatoire intégré,Certificat délivré par l'école,,bac + 2,Institut supérieur de biotechnologies de Paris - campus de Villejuif,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17287,0942193Y,privé,66 rue Guy Môquet,94800,Villejuif,Val-de-Marne,Créteil,Ile-de-France,48.7976,2.35737,01 80 51 71 08,http://www.supbiotech.fr,"sans hébergement : résidences adjacentes aux campus de l'école, Crous pour les étudiants boursiers, réseaux de loueurs particuliers. Plateforme dédiée au logement, gérée par le service logement de l'école, regroupant les offres de locations et de colocations sur un même site internet",Locaux accessibles,2 ans,"temps plein, cours en présentiel",,19058 euros en 2025 (9529 euros par an),,,27/06/2024,01/10/2025
AF.86701,licence mention physique,https://www.onisep.fr/http/redirection/formation/slug/FOR.10290,sciences/physique,licence,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/38978/,bac + 3,Institut catholique de Vendée,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8123,0851415B,privé,"17 boulevard des Belges, BP 691",85017,La Roche-sur-Yon,Vendée,Nantes,Pays de la Loire,46.6727,-1.4197,02 51 46 12 13,http://www.ices.fr,sans hébergement (consulter les solutions de logement sur le site interne de l'établissement),Locaux accessibles,3 ans,"temps plein, cours en présentiel",parcours 1re année cycle ingénieur ECAM Rennes | parcours génie de l'eau | parcours ingénierie et innovation en santé | parcours physique fondamentale,"de 11885 euros jusqu'à 24569 euros en 2026 (pour les 3 ans, les coûts sont variables selon les revenus)",,https://ices.fr/formation/licence-physique-chimie/,06/06/2020,03/03/2026
AF.141701,diplôme d'ingénieur spécialisé en ingénierie des projets éoliens offshore de l'École nationale supérieure du pétrole et des moteurs,https://www.onisep.fr/http/redirection/formation/slug/FOR.11802,"mécanique/construction navale| environnement, énergies, propreté/énergies",diplôme d'ingénieur spécialisé,Titre habilité par la Commission des titres d'ingénieur (CTI),https://www.francecompetences.fr/recherche/rncp/40768/,bac + 5,École nationale supérieure du pétrole et des moteurs,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6294,0920815L,public,232 avenue Napoléon Bonaparte,92852,Rueil-Malmaison,Hauts-de-Seine,Versailles,Ile-de-France,48.8777,2.17214,01 47 52 64 57,http://www.ifp-school.com,sans hébergement,,1 an,"temps plein, cours en présentiel",,,,,03/09/2025,03/09/2025
AF.26331,diplôme d'État d'infirmier,https://www.onisep.fr/http/redirection/formation/slug/FOR.2378,"santé, social, sport/paramédical",diplôme d'État du paramédical,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/39923/,bac + 3,École du personnel paramédical du service de santé des Armées,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8089,0690190G,public,331 avenue du Général de Gaulle,69500,Bron,Rhône,Lyon,Auvergne-Rhône-Alpes,45.7282743,4.9248669,01 40 51 69 06,https://www.emslb.defense.gouv.fr/,sans hébergement,,3 ans,"temps plein, cours en présentiel",,0 euros en 2026,,,06/06/2020,06/02/2026
AF.144280,bachelor en sciences et ingénierie - informatique et intelligence artificielle,https://www.onisep.fr/http/redirection/formation/slug/FOR.12365,"informatique, Internet/informatique (généralités)",bachelor en sciences et ingénierie,Diplôme conférant le grade de licence,,bac + 3,Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Brest,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10130,0292125C,privé,"20 rue Cuirassé Bretagne, CS 42807",29228,Brest,Finistère,Rennes,Bretagne,48.407,-4.49508,02 98 03 84 00,https://isen-ouest.fr/,sans hébergement (nombreuses résidences étudiantes proches de l'ISEN),Locaux accessibles,3 ans,"temps plein, cours en présentiel (en 1re année)",,"22050 euros en 2026 (7350 euros par an, gratuit en apprentissage)",,https://isen-ouest.fr/formations/bachelor-intelligence-artificielle/,23/01/2026,23/03/2026
AF.121691,master mention migrations,https://www.onisep.fr/http/redirection/formation/slug/FOR.8100,"économie, droit, politique/droit (généralités)| histoire-géographie, psychologie, sociologie/sciences sociales",master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/36848/,bac + 5,École des hautes études en sciences sociales,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7774,0753742K,public,54 boulevard Raspail,75006,Paris,Paris,Paris,Ile-de-France,48.8504,2.32703,01 49 54 25 25,http://www.ehess.fr,sans hébergement,,2 ans,"temps plein, cours en présentiel",,,,https://www.ehess.fr/jcms/ehess_30882/fr/master-migrations,01/06/2023,25/06/2026
AF.15742,diplôme du programme grande école de SKEMA BS,https://www.onisep.fr/http/redirection/formation/slug/FOR.11746,"commerce, marketing, vente/achat, approvisionnement| gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/commerce international| commerce, marketing, vente/marketing, vente| gestion des entreprises, comptabilité/ressources humaines",diplôme d'école de commerce visé de niveau bac + 4 ou 5,Diplôme d'école revêtu d'un visa officiel,https://www.francecompetences.fr/recherche/rncp/41054/,bac + 5,SKEMA Business School,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4442,0590346F,privé,Avenue Willy Brandt,59777,Lille,Nord,Lille,Hauts-de-France,50.636472218764,3.0759358406067,03 20 21 59 62,https://www.skema.edu/fr,"sans hébergement (sur tous les campus français et internationaux, partenariats avec des résidences privées à proximité de l'école, et avec le Crous. Service d'aide au logement et base de données réservés aux étudiants SKEMA)","Locaux accessibles : accessibilité totale pour handicap moteur, rampe d'accès, ascenseur",3 ans,"temps plein, cours en présentiel",,"55500 euros en 2026 (18500 euros par an, 2e et 3e années gratuites en apprentissage)",,https://www.skema.edu/fr/programmes/programme-grande-ecole,06/06/2020,29/01/2026
AF.42180,illustration et bande dessinée,https://www.onisep.fr/http/redirection/formation/slug/FOR.3683,"arts, culture, artisanat/arts graphiques",formation d'école spécialisée,Certificat délivré par l'école,,bac + 5,Condé Paris,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5770,0754987N,privé,7-9 rue Cambronne,75015,Paris,Paris,Paris,Ile-de-France,48.8471,2.30182,01 40 33 36 22,https://ecoles-conde.com/campus/ecole-de-conde-paris/,sans hébergement,,2 ans,"temps plein, cours en présentiel",,19200 euros en 2026 (9600 euros par an),,https://ecoles-conde.com/formations/mastere-illustration-bd-animation/,06/06/2020,19/05/2026
AF.136103,master mention sciences et techniques des activités physiques et sportives : ingénierie et ergonomie de l'activité physique,https://www.onisep.fr/http/redirection/formation/slug/FOR.10037,"histoire-géographie, psychologie, sociologie/psychologie| santé, social, sport/sport",master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/38699/,bac + 5,"Institut des Transversalités, des Sports et de la Santé - UPHF,  campus du Mont Houy",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25009,0597383E,public,Campus du Mont Houy,59313,Valenciennes,Nord,Lille,Hauts-de-France,50.3284657,3.5146348,03 27 51 18 05,https://www.uphf.fr/formation/choisir-sa-formation/composantes-formation/it2s-institut-transversalites-sports-sante,sans hébergement,,2 ans,"temps plein, cours en présentiel",parcours ergonomie et conception de produits et de services | parcours sciences du sport et de l'activité physique,,,https://formations.uphf.fr/fr/formations/master-master/master-staps-ingenierie-et-ergonomie-de-l-activite-physique-KZZQINR2.html#,25/02/2025,25/02/2025
AF.21943,master mention sciences et génie des matériaux,https://www.onisep.fr/http/redirection/formation/slug/FOR.10034,"matières premières, fabrication, industries/matériaux",master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/38708/,bac + 5,École nationale d'ingénieurs de Tarbes,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5497,0651125V,public,"47 avenue d'Azereix, BP 1629",65016,Tarbes,Hautes-Pyrénées,Toulouse,Occitanie,43.2252,0.0532501,05 62 44 27 04,http://www.enit.fr,sans hébergement (consulter le Crous pour logement sur le campus : Cité universitaire Simone Veil - Tarbes),"Locaux accessibles : accessibilité totale pour handicap moteur, rampe d'accès, ascenseur",1 an,"temps plein, cours en présentiel","parcours matériaux : élaboration, caractérisation et traitements de surface (réservé aux étudiants de l'ENIT)",,,https://www.enit.fr/fr/formations/masters/master-mects-1.html,06/06/2020,27/06/2024
AF.101964,diplôme en marketing,https://www.onisep.fr/http/redirection/formation/slug/FOR.11738,"information-communication, audiovisuel/journalisme, édition, publicité| commerce, marketing, vente/marketing, vente",diplôme d'école de commerce visé de niveau bac + 4 ou 5,Diplôme d'école revêtu d'un visa officiel,https://www.francecompetences.fr/recherche/rncp/41225/,bac + 5,HEC Paris,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16049,0783054W,privé,1 rue de la Libération,78351,Jouy-en-Josas,Yvelines,Versailles,Ile-de-France,48.757101189816,2.1686089038849,01 39 67 70 00,https://www.hec.fr,"sans hébergement (plus de 1750 logements au sein de 18 résidences sur le Campus HEC, meublé mixte)","Locaux accessibles : accessibilité totale pour handicap moteur, ascenseur",2 ans,"temps plein, cours en présentiel",,32550 euros en 2026,,https://www.hec.edu/fr/grande-ecole-masters/programmes-masters/master-marketing,15/12/2021,29/01/2026
AF.121543,cycle préparatoire intégré EFREI Paris - Prépa scientifique en anglais,https://www.onisep.fr/http/redirection/formation/slug/FOR.8866,"électricité, électronique, robotique/électronique| informatique, Internet/informatique (généralités)| sciences/mathématiques| information-communication, audiovisuel/multimédia| sciences/physique",cycle préparatoire intégré,Certificat délivré par l'école,,bac + 2,EFREI Paris - campus de Villejuif,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1434,0941934S,privé,30-32 avenue de la République,94800,Villejuif,Val-de-Marne,Créteil,Ile-de-France,48.7886,2.36402,01 88 28 90 01,http://www.efrei.fr,"sans hébergement (résidences universitaires et privées partenaires à Villejuif, Cachan et Palaiseau. Informations auprès du service logement de l'école ou sur le site de l'école)",Locaux accessibles : ascenseur,2 ans,"temps plein, cours en présentiel",,"17450 euros en 2026 (8200 euros en 1re année, 9250 euros en 2e année)",,https://www.efrei.fr/programme-grande-ecole/les-prepas/prepa-classique/,25/05/2023,03/12/2025
